BIAS TYPE,Category,Geometry,Incident Date,Number of Records,OFFENSE GROUP,OFFENSE CATEGORY,Reported Offense,Neighborho,Precinct
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/25/2018,1,Person,Assault,ASSLT-NONAGG,PIONEER SQUARE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/8/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,PIONEER SQUARE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/15/2018,1,Person,Assault,ASSLT-NONAGG,BELLTOWN,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/30/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/10/2018,1,Society,Harassment,MALICIOUS HARASSMENT,DOWNTOWN COMMERCIAL,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/4/2018,1,Society,Misdemeanor Warrant/Arrest,WARRARR-MISDEMEANOR,DOWNTOWN COMMERCIAL,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/20/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/1/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/7/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/9/2018,1,Person,Robbery,ROBBERY-STREET-BODYFORCE,DOWNTOWN COMMERCIAL,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/6/2018,1,Person,Assault,ASSLT-AGG-WEAPON,QUEEN ANNE,W
LGBTQ Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/7/2018,1,Society,Harassment,HARASSMENT,QUEEN ANNE,W
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,4/9/2018,1,Society,Property Damage,PROPERTY DAMAGE-RESIDENTIAL,EASTLAKE - WEST,W
Multiple Categories,CRIME WITH BIAS ELEMENTS,POLYGON,4/16/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Political Views Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/18/2018,1,Person,Assault,ASSLT-AGG-WEAPON,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,4/6/2018,1,Person,Assault,ASSLT-NONAGG,BELLTOWN,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/25/2018,1,Society,Disturbance,DISTURBANCE-OTH,BELLTOWN,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/17/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,SLU/CASCADE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/28/2018,1,Society,Crisis,CRISIS,SLU/CASCADE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/15/2018,1,Society,Disturbance,DISTURBANCE-OTH,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/24/2018,1,Person,Robbery,ROBBERY-STREET-BODYFORCE,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/6/2018,1,Society,Threats,THREATS-OTHER,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/16/2018,1,Society,Threats,THREATS-WEAPON,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/14/2018,1,Society,Order Violation,VIOL-COURT ORDER,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/6/2018,1,Person,Assault,ASSLT-NONAGG,CHINATOWN/INTERNATIONAL DISTRICT,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/8/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/23/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,PIONEER SQUARE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,12/10/2018,1,Person,Assault,ASSLT-NONAGG,PIONEER SQUARE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,1/14/2018,1,Society,Threats,THREATS-OTHER,PIONEER SQUARE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/20/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CHINATOWN/INTERNATIONAL DISTRICT,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,2/18/2018,1,Society,Threats,THREATS-OTHER,CHINATOWN/INTERNATIONAL DISTRICT,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,5/5/2018,1,Person,Assault,ASSLT-AGG-WEAPON,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/7/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,PIONEER SQUARE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,10/28/2018,1,Society,Disturbance,DISTURBANCE-OTH,PIONEER SQUARE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,7/25/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,PIONEER SQUARE,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,8/28/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/14/2018,1,Person,Robbery,ROBBERY-BUSINESS-BODYFORCE,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,11/5/2018,1,Person,Assault,ASSLT-AGG-WEAPON,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,3/18/2018,1,Society,Harassment,MALICIOUS HARASSMENT,DOWNTOWN COMMERCIAL,W
Race Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/9/2018,1,Society,Threats,THREATS-KILL,MAGNOLIA,W
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,6/30/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Religion Only,CRIME WITH BIAS ELEMENTS,POLYGON,9/5/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,QUEEN ANNE,W
Political Views Only,MALICIOUS HARASSMENT,,8/8/2018,1,Society,Suspicious Circumstance,SUSPICIOUS CIRCUMSTANCE,,Unknown
Disability Only,MALICIOUS HARASSMENT,POLYGON,10/13/2018,1,Person,Assault,ASSLT-NONAGG,FIRST HILL,E
Ethnicity Only,MALICIOUS HARASSMENT,POLYGON,8/13/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,FIRST HILL,E
Gender Only,MALICIOUS HARASSMENT,POLYGON,5/9/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,MILLER PARK,E
Homeless Only,MALICIOUS HARASSMENT,POLYGON,10/2/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,12/20/2018,1,Person,Assault,ASSLT-AGG-DV-WEAPON,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,5/6/2018,1,Society,Threats,THREATS-KILL,CENTRAL AREA/SQUIRE PARK,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,9/13/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,6/15/2018,1,Society,Bias Incident,BIAS INCIDENT,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,5/7/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,6/17/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,7/22/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,6/17/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,12/11/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,6/11/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,10/29/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,7/5/2018,1,Property,Theft,THEFT-OTH,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,8/19/2018,1,Society,Threats,THREATS-OTHER,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,3/30/2018,1,Society,Threats,THREATS-OTHER,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,8/12/2018,1,Society,Threats,THREATS-OTHER,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,7/6/2018,1,Society,Weapon,WEAPON-UNLAWFUL USE,CAPITOL HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,7/20/2018,1,Person,Assault,ASSLT-AGG-WEAPON,FIRST HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,10/28/2018,1,Person,Assault,ASSLT-NONAGG,FIRST HILL,E
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,11/20/2018,1,Person,Sex Offense,SEXOFF-OTHER OBJECT,JUDKINS PARK/NORTH BEACON HILL,E
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,8/20/2018,1,Society,Threats,THREATS-OTHER,CENTRAL AREA/SQUIRE PARK,E
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,6/22/2018,1,Person,Robbery,ROBBERY-STREET-WEAPON,CAPITOL HILL,E
Political Views Only,MALICIOUS HARASSMENT,POLYGON,6/21/2018,1,Society,Harassment,HARASSMENT,CENTRAL AREA/SQUIRE PARK,E
Political Views Only,MALICIOUS HARASSMENT,POLYGON,11/2/2018,1,Property,Theft,THEFT-OTH,MADISON PARK,E
Race Only,MALICIOUS HARASSMENT,POLYGON,9/30/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CENTRAL AREA/SQUIRE PARK,E
Race Only,MALICIOUS HARASSMENT,POLYGON,7/24/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,3/18/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,10/22/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,8/31/2018,1,Society,Threats,THREATS-OTHER,FIRST HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,6/11/2018,1,Society,Harassment,MALICIOUS HARASSMENT,FIRST HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,6/4/2018,1,Society,Harassment,MALICIOUS HARASSMENT,FIRST HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,7/6/2018,1,Person,Assault,ASSLT-AGG-WEAPON,JUDKINS PARK/NORTH BEACON HILL,E
Race Only,MALICIOUS HARASSMENT,POLYGON,7/20/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,MADRONA/LESCHI,E
Religion Only,MALICIOUS HARASSMENT,POLYGON,2/21/2018,1,Person,Assault,ASSLT-NONAGG,CAPITOL HILL,E
Religion Only,MALICIOUS HARASSMENT,POLYGON,3/12/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
Religion Only,MALICIOUS HARASSMENT,POLYGON,3/5/2018,1,Person,Assault,ASSLT-NONAGG,MILLER PARK,E
Ethnicity Only,MALICIOUS HARASSMENT,POLYGON,10/30/2018,1,Person,Assault,ASSLT-AGG-WEAPON,UNIVERSITY,N
Homeless Only,MALICIOUS HARASSMENT,POLYGON,7/30/2018,1,Person,Assault,ASSLT-AGG-WEAPON,LAKECITY,N
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,5/4/2018,1,Society,Threats,THREATS-KILL,WALLINGFORD,N
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,10/21/2018,1,Person,Assault,ASSLT-NONAGG,BITTERLAKE,N
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,11/2/2018,1,Burglary,Burglary,BURGLARY-SECURE PARKING-RES,BITTERLAKE,N
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,10/25/2018,1,Society,Harassment,HARASSMENT,BITTERLAKE,N
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,11/6/2018,1,Society,Harassment,HARASSMENT,BITTERLAKE,N
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,8/15/2018,1,Person,Assault,ASSLT-AGG-WEAPON,UNIVERSITY,N
Political Views Only,MALICIOUS HARASSMENT,POLYGON,1/6/2018,1,Society,Threats,THREATS-OTHER,UNIVERSITY,N
Race Only,MALICIOUS HARASSMENT,POLYGON,4/21/2018,1,Society,Threats,THREATS-KILL,BALLARD SOUTH,N
Race Only,MALICIOUS HARASSMENT,POLYGON,9/15/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,BALLARD NORTH,N
Race Only,MALICIOUS HARASSMENT,POLYGON,6/14/2018,1,Society,Threats,THREATS-KILL,ROOSEVELT/RAVENNA,N
Race Only,MALICIOUS HARASSMENT,POLYGON,10/1/2018,1,Person,Assault,ASSLT-NONAGG,NORTHGATE,N
Race Only,MALICIOUS HARASSMENT,POLYGON,6/26/2018,1,Person,Assault,ASSLT-NONAGG,NORTHGATE,N
Race Only,MALICIOUS HARASSMENT,POLYGON,2/20/2018,1,Society,Harassment,MALICIOUS HARASSMENT,UNIVERSITY,N
Race Only,MALICIOUS HARASSMENT,POLYGON,10/22/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,UNIVERSITY,N
Race Only,MALICIOUS HARASSMENT,POLYGON,8/9/2018,1,Person,Assault,ASSLT-NONAGG,UNIVERSITY,N
Race Only,MALICIOUS HARASSMENT,POLYGON,5/4/2018,1,Society,Harassment,HARASSMENT,UNIVERSITY,N
Race Only,MALICIOUS HARASSMENT,POLYGON,7/14/2018,1,Society,Harassment,MALICIOUS HARASSMENT,UNIVERSITY,N
Race Only,MALICIOUS HARASSMENT,POLYGON,8/10/2018,1,Society,Property Damage,PROPERTY DAMAGE-RESIDENTIAL,ROOSEVELT/RAVENNA,N
Religion Only,MALICIOUS HARASSMENT,POLYGON,3/27/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,BALLARD SOUTH,N
Religion Only,MALICIOUS HARASSMENT,POLYGON,1/24/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,GREENWOOD,N
Religion Only,MALICIOUS HARASSMENT,POLYGON,1/4/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,UNIVERSITY,N
Religion Only,MALICIOUS HARASSMENT,POLYGON,8/14/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,UNIVERSITY,N
Religion Only,MALICIOUS HARASSMENT,POLYGON,10/9/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,SANDPOINT,N
Ethnicity Only,MALICIOUS HARASSMENT,POLYGON,9/24/2018,1,Society,Trespass,TRESPASS,SODO,S
Ethnicity Only,MALICIOUS HARASSMENT,POLYGON,6/7/2018,1,Person,Assault,ASSLT-NONAGG,GEORGETOWN,S
Ethnicity Only,MALICIOUS HARASSMENT,POLYGON,9/10/2018,1,Society,Threats,THREATS-OTHER,GEORGETOWN,S
Homeless Only,MALICIOUS HARASSMENT,POLYGON,3/15/2018,1,Person,Assault,ASSLT-AGG-WEAPON,NEW HOLLY,S
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,7/4/2018,1,Society,Threats,THREATS-OTHER,GEORGETOWN,S
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,6/15/2018,1,Society,Threats,THREATS-OTHER,NORTH BEACON HILL,S
Race Only,MALICIOUS HARASSMENT,POLYGON,6/17/2018,1,Society,Bias Incident,BIAS INCIDENT,SODO,S
Race Only,MALICIOUS HARASSMENT,POLYGON,10/7/2018,1,Person,Assault,ASSLT-AGG-WEAPON,NORTH BEACON HILL,S
Race Only,MALICIOUS HARASSMENT,POLYGON,7/23/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,CLAREMONT/RAINIER VISTA,S
Race Only,MALICIOUS HARASSMENT,POLYGON,9/6/2018,1,Person,Assault,ASSLT-NONAGG,RAINIER BEACH,S
Religion Only,MALICIOUS HARASSMENT,POLYGON,3/1/2018,1,Person,Assault,ASSLT-NONAGG,MOUNT BAKER,S
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,8/9/2018,1,Society,Suspicious Circumstance,SUSPICIOUS CIRCUMSTANCE,COMMERCIAL DUWAMISH,SW
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,9/27/2018,1,Society,Threats,THREATS-KILL,MORGAN,SW
Race Only,MALICIOUS HARASSMENT,POLYGON,7/26/2018,1,Society,Harassment,MALICIOUS HARASSMENT,NORTH DELRIDGE,SW
Race Only,MALICIOUS HARASSMENT,POLYGON,8/31/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,SOUTH PARK,SW
Race Only,MALICIOUS HARASSMENT,POLYGON,7/15/2018,1,Person,Assault,ASSLT-NONAGG,ALKI,SW
Race Only,MALICIOUS HARASSMENT,POLYGON,2/7/2018,1,Person,Sex Offense,SEXOFF-INDECENT LIBERTIES,MORGAN,SW
Race Only,MALICIOUS HARASSMENT,POLYGON,3/24/2018,1,Society,Threats,THREATS-WEAPON,MORGAN,SW
Race Only,MALICIOUS HARASSMENT,POLYGON,2/26/2018,1,Society,Threats,THREATS-OTHER,ROXHILL/WESTWOOD/ARBOR HEIGHTS,SW
Gender Only,MALICIOUS HARASSMENT,POLYGON,2/28/2018,1,Person,Assault,ASSLT-AGG-WEAPON,BELLTOWN,W
Homeless Only,MALICIOUS HARASSMENT,POLYGON,3/20/2018,1,Society,Threats,THREATS-WEAPON,DOWNTOWN COMMERCIAL,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,3/17/2018,1,Society,Harassment,HARASSMENT,BELLTOWN,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,7/24/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,1/26/2018,1,Person,Assault,ASSLT-NONAGG-DV,SLU/CASCADE,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,9/26/2018,1,Person,Robbery,ROBBERY-STREET-WEAPON,DOWNTOWN COMMERCIAL,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,2/6/2018,1,Person,Assault,ASSLT-AGG-WEAPON,CHINATOWN/INTERNATIONAL DISTRICT,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,3/2/2018,1,Person,Assault,ASSLT-NONAGG,CHINATOWN/INTERNATIONAL DISTRICT,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,10/8/2018,1,Person,Assault,ASSLT-NONAGG,CHINATOWN/INTERNATIONAL DISTRICT,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,5/23/2018,1,Person,Assault,ASSLT-NONAGG-POLICE,BELLTOWN,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,8/13/2018,1,Person,Assault,ASSLT-NONAGG,MAGNOLIA,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,10/10/2018,1,Society,Threats,THREATS-OTHER,QUEEN ANNE,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,2/23/2018,1,Person,Assault,ASSLT-NONAGG,QUEEN ANNE,W
LGBTQ Only,MALICIOUS HARASSMENT,POLYGON,6/29/2018,1,Society,Threats,THREATS-OTHER,QUEEN ANNE,W
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,10/29/2018,1,Person,Assault,ASSLT-AGG-WEAPON,DOWNTOWN COMMERCIAL,W
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,5/11/2018,1,Person,Assault,ASSLT-NONAGG,CHINATOWN/INTERNATIONAL DISTRICT,W
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,8/6/2018,1,Society,Harassment,HARASSMENT,DOWNTOWN COMMERCIAL,W
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,3/28/2018,1,Society,Harassment,HARASSMENT,QUEEN ANNE,W
Multiple Categories,MALICIOUS HARASSMENT,POLYGON,2/5/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,9/17/2018,1,Person,Assault,ASSLT-AGG-WEAPON,QUEEN ANNE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,5/21/2018,1,Society,Harassment,HARASSMENT,SLU/CASCADE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,10/15/2018,1,Society,Property Damage,PROPERTY DAMAGE - GRAFFITI,SLU/CASCADE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,4/10/2018,1,Society,Threats,THREATS-OTHER,DOWNTOWN COMMERCIAL,W
Race Only,MALICIOUS HARASSMENT,POLYGON,12/31/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CHINATOWN/INTERNATIONAL DISTRICT,W
Race Only,MALICIOUS HARASSMENT,POLYGON,10/7/2018,1,Person,Assault,ASSLT-NONAGG,PIONEER SQUARE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,3/30/2018,1,Society,Harassment,MALICIOUS HARASSMENT,PIONEER SQUARE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,7/12/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CHINATOWN/INTERNATIONAL DISTRICT,W
Race Only,MALICIOUS HARASSMENT,POLYGON,9/11/2018,1,Society,Threats,THREATS-WEAPON,CHINATOWN/INTERNATIONAL DISTRICT,W
Race Only,MALICIOUS HARASSMENT,POLYGON,7/15/2018,1,Person,Assault,ASSLT-AGG-WEAPON,PIONEER SQUARE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,10/3/2018,1,Person,Assault,ASSLT-AGG-WEAPON,PIONEER SQUARE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,6/25/2018,1,Person,Assault,ASSLT-NONAGG,PIONEER SQUARE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,6/1/2018,1,Person,Assault,ASSLT-NONAGG,BELLTOWN,W
Race Only,MALICIOUS HARASSMENT,POLYGON,9/29/2018,1,Society,Threats,THREATS-KILL,BELLTOWN,W
Race Only,MALICIOUS HARASSMENT,POLYGON,10/11/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Race Only,MALICIOUS HARASSMENT,POLYGON,10/14/2018,1,Society,Property Damage,PROPERTY DAMAGE-NON RESIDENTIA,DOWNTOWN COMMERCIAL,W
Race Only,MALICIOUS HARASSMENT,POLYGON,5/27/2018,1,Person,Assault,ASSLT-AGG-BODYFORCE,DOWNTOWN COMMERCIAL,W
Race Only,MALICIOUS HARASSMENT,POLYGON,1/9/2018,1,Person,Assault,ASSLT-NONAGG,SLU/CASCADE,W
Race Only,MALICIOUS HARASSMENT,POLYGON,4/9/2018,1,Person,Assault,ASSLT-NONAGG,DOWNTOWN COMMERCIAL,W
Race Only,MALICIOUS HARASSMENT,POLYGON,3/2/2018,1,Person,Assault,ASSLT-NONAGG,QUEEN ANNE,W
Religion Only,MALICIOUS HARASSMENT,POLYGON,5/12/2018,1,Person,Assault,ASSLT-NONAGG,BELLTOWN,W
Religion Only,MALICIOUS HARASSMENT,POLYGON,8/12/2018,1,Person,Assault,ASSLT-NONAGG,QUEEN ANNE,W
Race Only,NON-CRIMINAL BIAS INCIDENTS,,11/9/2018,1,Society,Threats,THREATS-WEAPON,,Unknown
Ethnicity Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,2/21/2018,1,Society,Bias Incident,BIAS INCIDENT,CAPITOL HILL,E
Ethnicity Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,11/7/2018,1,Society,Harassment,HARASSMENT,CAPITOL HILL,E
Gender Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,4/4/2018,1,Society,Bias Incident,BIAS INCIDENT,CENTRAL AREA/SQUIRE PARK,E
Gender Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,4/14/2018,1,Society,Threats,THREATS-OTHER,FIRST HILL,E
LGBTQ Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,7/16/2018,1,Society,Harassment,MALICIOUS HARASSMENT,CAPITOL HILL,E
LGBTQ Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,12/16/2018,1,Society,Disturbance,DISTURBANCE-OTH,MADISON PARK,E
LGBTQ Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,8/26/2018,1,Society,Disturbance,DISTURBANCE-FAMILY,CENTRAL AREA/SQUIRE PARK,E
LGBTQ Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,2/17/2018,1,Society,Disturbance,DISTURBANCE-OTH,CENTRAL AREA/SQUIRE PARK,E
LGBTQ Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,8/1/2018,1,Society,Bias Incident,BIAS INCIDENT,CAPITOL HILL,E
LGBTQ Only,NON-CRIMINAL BIAS INCIDENTS,POLYGON,2/2/2018,1,Society,Harassment,HARASSMENT,CAPITOL HILL,E
